Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.8987061815769103,0.9045803233701014,0.6532399299474606,0.34188817598533455,0.44885679903730447,0.42450559942720695
Decision Tree,0.8730509786575251,0.7079645609680079,0.47471162377994675,0.4903758020164986,0.4824165915238954,0.41016163859724203
KNN,0.8984850160345018,0.8519604104922845,0.6328725038402457,0.37763519706691107,0.4730195177956372,0.43800789577379295
Naive Bayes,0.8458476169412805,0.8098751768170894,0.3936842105263158,0.5142071494042163,0.44594594594594594,0.36255396539908546
Random Forest,0.9055623133915736,0.9271533762612336,0.6781954887218045,0.41338221814848763,0.5136674259681093,0.4822654942131902
XGBoost,0.9087692137564968,0.9313022382692119,0.6557377049180327,0.5132905591200734,0.5758354755784062,0.530522549155326
